T,TND,N,cohs,S,K,A,i,thresh
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,43,1.019787770894732
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,44,1.019787770894732
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,45,1.019787770894732
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,46,1.019787770894732
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,47,1.019787770894732
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,48,1.019787770894732
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,49,1.019787770894732
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",4,4,1,50,1.019787770894732
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,0,1.0290978076396946
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,1,1.4110908153426911
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,2,1.2427950236692529
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,3,0.45399107749608114
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,4,0.23656636924942961
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,5,0.19516570381742268
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,6,0.17351964278029156
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,7,0.15106963481350649
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,8,0.13536057487809436
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,9,0.12932702849944186
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,10,0.12297828449647899
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,11,0.11896697899954836
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,12,0.11720805522156068
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,13,0.11879380053048637
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,14,0.11899777564465402
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,15,0.11594312316061768
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,16,0.11566034738698447
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,17,0.11499538158190384
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,18,0.11485998946762443
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,19,0.1142361016558224
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,20,0.11433813389608202
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,21,0.11509918005873436
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,22,0.11408900159337805
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,23,0.1142361016558224
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,24,0.11408900159337805
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,25,0.1142361016558224
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,26,0.1142361016558224
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,27,0.1143270012296367
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,28,0.1143270012296367
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,29,0.1142361016558224
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,30,0.11417141138860587
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,31,0.1142361016558224
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,32,0.1142361016558224
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,33,0.1142361016558224
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,34,0.1142361016558224
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,35,0.1142361016558224
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,36,0.1142361016558224
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,37,0.11417141138860587
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,38,0.11417141138860587
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,39,0.11417141138860587
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,40,0.11417141138860587
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,41,0.11417141138860587
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,42,0.11417141138860587
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,43,0.11417141138860587
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,44,0.11417141138860587
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,45,0.11417141138860587
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,46,0.11417141138860587
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,47,0.11417141138860587
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,48,0.11417141138860587
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,49,0.11417141138860587
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,3,2,50,0.11417141138860587
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,0,1.0290978076396946
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,1,1.0998335408314392
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,2,1.0770606667390594
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,3,0.3326269984523077
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,4,0.19325843747398197
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,5,0.14528172468200573
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,6,0.11792865331930096
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,7,0.10116648622116892
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,8,0.089398085331072338
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,9,0.074697945068517485
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,10,0.070563588455768211
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,11,0.066020045081186599
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,12,0.065308947424697728
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,13,0.063990302478884029
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,14,0.062904084733292773
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,15,0.058751349351645013
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,16,0.055392353650681313
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,17,0.051514280003139325
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,18,0.051187276370414203
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,19,0.048927517531324606
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,20,0.048994757608889786
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,21,0.047217167468820938
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,22,0.04577801909231257
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,23,0.044164308141240158
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,24,0.042157155163632894
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,25,0.03989510363349856
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,26,0.038793803252953792
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,27,0.036355264127395988
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,28,0.037065319456024585
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,29,0.037719096488019549
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,30,0.033928555147747182
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,31,0.030883404897886449
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,32,0.028607691603415052
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,33,0.031569803289569986
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,34,0.03029570194582824
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,35,0.027698176901491699
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,4,4,36,0.030473718800784561
