T,TND,N,cohs,S,K,A,i,thresh
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,38,2.2221345873541329
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,39,2.2221345873541329
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,40,2.2221345873541329
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,41,2.2221345873541329
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,42,2.2221345873541329
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,43,2.2221345873541329
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,44,2.2221345873541329
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,45,2.2221345873541329
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,46,2.2221345873541329
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,47,2.2221345873541329
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,48,2.2221345873541329
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,49,2.2221345873541329
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,1,1,50,2.2221345873541329
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,0,1.0290978076396946
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,1,1.0445642426182029
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,2,1.0447761349699709
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,3,1.2520831850297987
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,4,0.70145107983620225
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,5,0.52484042003852438
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,6,0.48529898624301571
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,7,0.43312351744498168
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,8,0.43115512879264639
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,9,0.40724648989889517
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,10,0.38803959939455851
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,11,0.37453773144348013
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,12,0.35236983454219156
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,13,0.3517863844300988
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,14,0.33822545761732914
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,15,0.34300025437959636
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,16,0.34304457853125692
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,17,0.33348859967351246
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,18,0.32932696048186672
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,19,0.32697433338882176
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,20,0.32985451473036564
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,21,0.3240387184142014
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,22,0.32032601098195362
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,23,0.31845867996146304
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,24,0.31770837858015416
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,25,0.31482567085256913
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,26,0.31840627573017632
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,27,0.31677906225460817
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,28,0.31694114703891774
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,29,0.31694114703891774
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,30,0.31840627573017632
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,31,0.31694114703891774
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,32,0.31694114703891774
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,33,0.31840627573017632
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,34,0.31694114703891774
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,35,0.31694114703891774
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,36,0.31694114703891774
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,37,0.31694114703891774
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,38,0.31694114703891774
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,39,0.31694114703891774
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,40,0.31694114703891774
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,41,0.31694114703891774
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,42,0.31694114703891774
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,43,0.31694114703891774
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,44,0.31694114703891774
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,45,0.31694114703891774
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,46,0.31694114703891774
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,47,0.31694114703891774
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,48,0.31694114703891774
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,49,0.31694114703891774
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,1,2,50,0.31694114703891774
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,1,0,1.0290978076396946
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,1,1,1.3503248981791751
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,1,2,1.0129704967629845
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,1,3,2.8586256419859737
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,1,4,2.9100227017943516
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,1,5,3.0743986510345893
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,1,6,3.0980187245523467
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,1,7,3.0980187245523467
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,1,8,3.0591538987995666
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,1,9,3.0591538987995666
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,1,10,3.0591538987995666
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,1,11,3.0591538987995666
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,1,12,3.0591538987995666
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,1,13,3.0591538987995666
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,1,14,3.0591538987995666
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,1,15,3.0591538987995666
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,1,16,3.0591538987995666
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,1,17,3.0591538987995666
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,1,18,3.0591538987995666
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,1,19,3.0591538987995666
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,1,20,3.0591538987995666
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,1,21,3.0591538987995666
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,1,22,3.0591538987995666
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,1,23,3.0591538987995666
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,1,24,3.0591538987995666
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,1,25,3.0591538987995666
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,1,26,3.0591538987995666
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,1,27,3.0591538987995666
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,1,28,3.0591538987995666
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,1,29,3.0591538987995666
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,1,30,3.0591538987995666
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,1,31,3.0591538987995666
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,1,32,3.0591538987995666
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,1,33,3.0591538987995666
